meal_id,user_id,timestamp,meal_type,food_name,food_tags
meal_1,user_123,2025-01-01 07:46:29,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_2,user_123,2025-01-01 12:14:30,Lunch,Lentil Soup,"high-fiber, legume"
meal_3,user_123,2025-01-01 19:46:58,Dinner,Gluten-Free Toast,gluten-free
meal_4,user_123,2025-01-02 07:42:02,Breakfast,Lentil Soup,"high-fiber, legume"
meal_5,user_123,2025-01-02 12:49:49,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_6,user_123,2025-01-02 18:19:14,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_7,user_123,2025-01-03 08:52:38,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_8,user_123,2025-01-03 12:07:39,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_9,user_123,2025-01-03 19:48:51,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_10,user_123,2025-01-04 07:12:40,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_11,user_123,2025-01-04 13:10:31,Lunch,Spicy Curry,"spicy, high-fat, dairy-free"
meal_12,user_123,2025-01-04 19:07:31,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_13,user_123,2025-01-05 08:53:13,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_14,user_123,2025-01-05 12:51:45,Lunch,Steamed Rice,"low-fodmap, carb"
meal_15,user_123,2025-01-05 19:56:34,Dinner,Cooked Carrots,"low-fodmap, vegetable"
meal_16,user_123,2025-01-06 07:35:26,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_17,user_123,2025-01-06 13:48:46,Lunch,Lentil Soup,"high-fiber, legume"
meal_18,user_123,2025-01-06 18:51:36,Dinner,Lentil Soup,"high-fiber, legume"
meal_19,user_123,2025-01-07 08:34:03,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_20,user_123,2025-01-07 13:09:41,Lunch,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_21,user_123,2025-01-07 19:17:34,Dinner,Mac & Cheese,"gluten, dairy, processed"
meal_22,user_123,2025-01-08 08:41:19,Breakfast,Gluten-Free Toast,gluten-free
meal_23,user_123,2025-01-08 13:00:06,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_24,user_123,2025-01-08 18:26:17,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_25,user_123,2025-01-09 08:07:43,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_26,user_123,2025-01-09 12:15:53,Lunch,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_27,user_123,2025-01-09 19:36:46,Dinner,Lentil Soup,"high-fiber, legume"
meal_28,user_123,2025-01-10 07:05:49,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_29,user_123,2025-01-10 13:49:22,Lunch,Gluten-Free Toast,gluten-free
meal_30,user_123,2025-01-10 19:01:44,Dinner,Large Apple,"high-fiber, fruit, raw"
meal_31,user_123,2025-01-11 08:33:26,Breakfast,Cooked Carrots,"low-fodmap, vegetable"
meal_32,user_123,2025-01-11 13:06:03,Lunch,Lentil Soup,"high-fiber, legume"
meal_33,user_123,2025-01-11 18:54:28,Dinner,Mac & Cheese,"gluten, dairy, processed"
meal_34,user_123,2025-01-12 07:20:48,Breakfast,Grilled Chicken Breast,"low-fodmap, protein"
meal_35,user_123,2025-01-12 12:48:51,Lunch,Spicy Curry,"spicy, high-fat, dairy-free"
meal_36,user_123,2025-01-12 18:52:26,Dinner,Lentil Soup,"high-fiber, legume"
meal_37,user_123,2025-01-13 08:02:35,Breakfast,Gluten-Free Toast,gluten-free
meal_38,user_123,2025-01-13 12:52:32,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_39,user_123,2025-01-13 18:50:24,Dinner,Steamed Rice,"low-fodmap, carb"
meal_40,user_123,2025-01-14 07:44:38,Breakfast,Lentil Soup,"high-fiber, legume"
meal_41,user_123,2025-01-14 12:07:33,Lunch,Buffalo Wings,"spicy, processed, high-fat"
meal_42,user_123,2025-01-14 19:29:01,Dinner,Scrambled Eggs,"low-fodmap, protein"
meal_43,user_123,2025-01-15 07:24:00,Breakfast,Lentil Soup,"high-fiber, legume"
meal_44,user_123,2025-01-15 13:02:57,Lunch,Bean Burrito,"high-fiber, gluten"
meal_45,user_123,2025-01-15 19:44:18,Dinner,Steamed Rice,"low-fodmap, carb"
meal_46,user_123,2025-01-16 07:56:10,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_47,user_123,2025-01-16 12:55:51,Lunch,Bean Burrito,"high-fiber, gluten"
meal_48,user_123,2025-01-16 19:31:04,Dinner,Cooked Carrots,"low-fodmap, vegetable"
meal_49,user_123,2025-01-17 08:35:55,Breakfast,Steamed Rice,"low-fodmap, carb"
meal_50,user_123,2025-01-17 12:32:26,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_51,user_123,2025-01-17 19:26:51,Dinner,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_52,user_123,2025-01-18 08:02:07,Breakfast,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_53,user_123,2025-01-18 13:16:16,Lunch,Buffalo Wings,"spicy, processed, high-fat"
meal_54,user_123,2025-01-18 19:56:24,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_55,user_123,2025-01-19 07:30:29,Breakfast,Grilled Chicken Breast,"low-fodmap, protein"
meal_56,user_123,2025-01-19 12:14:49,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_57,user_123,2025-01-19 18:08:42,Dinner,Mac & Cheese,"gluten, dairy, processed"
meal_58,user_123,2025-01-20 07:09:19,Breakfast,Buffalo Wings,"spicy, processed, high-fat"
meal_59,user_123,2025-01-20 13:02:17,Lunch,Steamed Rice,"low-fodmap, carb"
meal_60,user_123,2025-01-20 18:25:24,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_61,user_123,2025-01-21 08:58:15,Breakfast,Bean Burrito,"high-fiber, gluten"
meal_62,user_123,2025-01-21 13:26:36,Lunch,Spicy Curry,"spicy, high-fat, dairy-free"
meal_63,user_123,2025-01-21 19:41:56,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_64,user_123,2025-01-22 07:03:36,Breakfast,Lentil Soup,"high-fiber, legume"
meal_65,user_123,2025-01-22 12:50:16,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_66,user_123,2025-01-22 19:35:55,Dinner,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_67,user_123,2025-01-23 08:10:16,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_68,user_123,2025-01-23 13:13:45,Lunch,Mac & Cheese,"gluten, dairy, processed"
meal_69,user_123,2025-01-23 19:21:48,Dinner,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_70,user_123,2025-01-24 08:37:44,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_71,user_123,2025-01-24 12:49:24,Lunch,Scrambled Eggs,"low-fodmap, protein"
meal_72,user_123,2025-01-24 18:55:07,Dinner,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_73,user_123,2025-01-25 07:14:34,Breakfast,Lentil Soup,"high-fiber, legume"
meal_74,user_123,2025-01-25 12:40:55,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_75,user_123,2025-01-25 18:02:09,Dinner,Bean Burrito,"high-fiber, gluten"
meal_76,user_123,2025-01-26 08:11:20,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_77,user_123,2025-01-26 12:03:06,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_78,user_123,2025-01-26 18:21:28,Dinner,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_79,user_123,2025-01-27 08:47:17,Breakfast,Cooked Carrots,"low-fodmap, vegetable"
meal_80,user_123,2025-01-27 12:55:18,Lunch,Bean Burrito,"high-fiber, gluten"
meal_81,user_123,2025-01-27 18:35:20,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_82,user_123,2025-01-28 07:53:01,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_83,user_123,2025-01-28 12:40:00,Lunch,Cooked Carrots,"low-fodmap, vegetable"
meal_84,user_123,2025-01-28 18:50:47,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_85,user_123,2025-01-29 07:29:14,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_86,user_123,2025-01-29 12:53:18,Lunch,Cooked Carrots,"low-fodmap, vegetable"
meal_87,user_123,2025-01-29 18:33:52,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_88,user_123,2025-01-30 07:15:26,Breakfast,Mac & Cheese,"gluten, dairy, processed"
meal_89,user_123,2025-01-30 12:33:55,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_90,user_123,2025-01-30 19:48:14,Dinner,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_91,user_123,2025-01-31 08:02:42,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_92,user_123,2025-01-31 13:00:45,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_93,user_123,2025-01-31 19:44:46,Dinner,Gluten-Free Toast,gluten-free
meal_94,user_123,2025-02-01 08:14:21,Breakfast,Mac & Cheese,"gluten, dairy, processed"
meal_95,user_123,2025-02-01 13:39:00,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_96,user_123,2025-02-01 19:13:58,Dinner,Large Apple,"high-fiber, fruit, raw"
meal_97,user_123,2025-02-02 07:30:32,Breakfast,Gluten-Free Toast,gluten-free
meal_98,user_123,2025-02-02 12:49:53,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_99,user_123,2025-02-02 19:35:19,Dinner,Mac & Cheese,"gluten, dairy, processed"
meal_100,user_123,2025-02-03 08:04:29,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_101,user_123,2025-02-03 13:49:20,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_102,user_123,2025-02-03 19:05:40,Dinner,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_103,user_123,2025-02-04 08:57:16,Breakfast,Mac & Cheese,"gluten, dairy, processed"
meal_104,user_123,2025-02-04 12:58:24,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_105,user_123,2025-02-04 19:52:48,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_106,user_123,2025-02-05 07:30:53,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_107,user_123,2025-02-05 12:35:20,Lunch,Buffalo Wings,"spicy, processed, high-fat"
meal_108,user_123,2025-02-05 18:53:04,Dinner,Scrambled Eggs,"low-fodmap, protein"
meal_109,user_123,2025-02-06 08:13:28,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_110,user_123,2025-02-06 12:45:18,Lunch,Spicy Curry,"spicy, high-fat, dairy-free"
meal_111,user_123,2025-02-06 18:24:34,Dinner,Scrambled Eggs,"low-fodmap, protein"
meal_112,user_123,2025-02-07 07:24:18,Breakfast,Scrambled Eggs,"low-fodmap, protein"
meal_113,user_123,2025-02-07 12:02:09,Lunch,Steamed Rice,"low-fodmap, carb"
meal_114,user_123,2025-02-07 18:45:18,Dinner,Cooked Carrots,"low-fodmap, vegetable"
meal_115,user_123,2025-02-08 08:43:05,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_116,user_123,2025-02-08 13:39:27,Lunch,Buffalo Wings,"spicy, processed, high-fat"
meal_117,user_123,2025-02-08 18:54:39,Dinner,Gluten-Free Toast,gluten-free
meal_118,user_123,2025-02-09 08:51:50,Breakfast,Gluten-Free Toast,gluten-free
meal_119,user_123,2025-02-09 12:09:13,Lunch,Scrambled Eggs,"low-fodmap, protein"
meal_120,user_123,2025-02-09 18:25:07,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_121,user_123,2025-02-10 07:13:29,Breakfast,Cooked Carrots,"low-fodmap, vegetable"
meal_122,user_123,2025-02-10 12:19:56,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_123,user_123,2025-02-10 19:53:14,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_124,user_123,2025-02-11 07:03:57,Breakfast,Scrambled Eggs,"low-fodmap, protein"
meal_125,user_123,2025-02-11 12:20:41,Lunch,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_126,user_123,2025-02-11 19:39:58,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_127,user_123,2025-02-12 08:00:09,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_128,user_123,2025-02-12 13:26:55,Lunch,Lentil Soup,"high-fiber, legume"
meal_129,user_123,2025-02-12 19:00:27,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_130,user_123,2025-02-13 07:15:57,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_131,user_123,2025-02-13 13:56:16,Lunch,Gluten-Free Toast,gluten-free
meal_132,user_123,2025-02-13 18:56:20,Dinner,Large Apple,"high-fiber, fruit, raw"
meal_133,user_123,2025-02-14 07:27:39,Breakfast,Gluten-Free Toast,gluten-free
meal_134,user_123,2025-02-14 12:55:04,Lunch,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_135,user_123,2025-02-14 18:50:42,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_136,user_123,2025-02-15 07:30:42,Breakfast,Gluten-Free Toast,gluten-free
meal_137,user_123,2025-02-15 12:39:02,Lunch,Steamed Rice,"low-fodmap, carb"
meal_138,user_123,2025-02-15 19:42:35,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_139,user_123,2025-02-16 08:07:27,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_140,user_123,2025-02-16 12:37:41,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_141,user_123,2025-02-16 19:17:03,Dinner,Bean Burrito,"high-fiber, gluten"
meal_142,user_123,2025-02-17 08:55:01,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_143,user_123,2025-02-17 13:41:46,Lunch,Mac & Cheese,"gluten, dairy, processed"
meal_144,user_123,2025-02-17 19:53:39,Dinner,Scrambled Eggs,"low-fodmap, protein"
meal_145,user_123,2025-02-18 08:18:05,Breakfast,Grilled Chicken Breast,"low-fodmap, protein"
meal_146,user_123,2025-02-18 13:56:29,Lunch,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_147,user_123,2025-02-18 19:37:39,Dinner,Scrambled Eggs,"low-fodmap, protein"
meal_148,user_123,2025-02-19 07:32:50,Breakfast,Lentil Soup,"high-fiber, legume"
meal_149,user_123,2025-02-19 12:04:01,Lunch,Spicy Curry,"spicy, high-fat, dairy-free"
meal_150,user_123,2025-02-19 19:25:08,Dinner,Bean Burrito,"high-fiber, gluten"
meal_151,user_123,2025-02-20 08:39:42,Breakfast,Bean Burrito,"high-fiber, gluten"
meal_152,user_123,2025-02-20 12:06:03,Lunch,Bean Burrito,"high-fiber, gluten"
meal_153,user_123,2025-02-20 18:13:35,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_154,user_123,2025-02-21 07:35:32,Breakfast,Lentil Soup,"high-fiber, legume"
meal_155,user_123,2025-02-21 12:02:34,Lunch,Gluten-Free Toast,gluten-free
meal_156,user_123,2025-02-21 18:41:02,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_157,user_123,2025-02-22 07:12:11,Breakfast,Buffalo Wings,"spicy, processed, high-fat"
meal_158,user_123,2025-02-22 13:15:27,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_159,user_123,2025-02-22 18:56:45,Dinner,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_160,user_123,2025-02-23 08:49:39,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_161,user_123,2025-02-23 13:32:25,Lunch,Cooked Carrots,"low-fodmap, vegetable"
meal_162,user_123,2025-02-23 19:03:29,Dinner,Lentil Soup,"high-fiber, legume"
meal_163,user_123,2025-02-24 07:11:28,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_164,user_123,2025-02-24 13:57:35,Lunch,Lentil Soup,"high-fiber, legume"
meal_165,user_123,2025-02-24 18:17:14,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_166,user_123,2025-02-25 08:29:49,Breakfast,Bean Burrito,"high-fiber, gluten"
meal_167,user_123,2025-02-25 13:39:40,Lunch,Lentil Soup,"high-fiber, legume"
meal_168,user_123,2025-02-25 18:20:56,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_169,user_123,2025-02-26 08:26:35,Breakfast,Cooked Carrots,"low-fodmap, vegetable"
meal_170,user_123,2025-02-26 12:15:08,Lunch,Buffalo Wings,"spicy, processed, high-fat"
meal_171,user_123,2025-02-26 18:54:49,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_172,user_123,2025-02-27 08:14:56,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_173,user_123,2025-02-27 13:12:16,Lunch,Scrambled Eggs,"low-fodmap, protein"
meal_174,user_123,2025-02-27 18:57:55,Dinner,Bean Burrito,"high-fiber, gluten"
meal_175,user_123,2025-02-28 08:30:32,Breakfast,Scrambled Eggs,"low-fodmap, protein"
meal_176,user_123,2025-02-28 13:23:36,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_177,user_123,2025-02-28 18:32:12,Dinner,Lentil Soup,"high-fiber, legume"
meal_178,user_123,2025-03-01 08:41:18,Breakfast,Bean Burrito,"high-fiber, gluten"
meal_179,user_123,2025-03-01 13:06:09,Lunch,Scrambled Eggs,"low-fodmap, protein"
meal_180,user_123,2025-03-01 19:16:28,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_181,user_123,2025-03-02 07:45:55,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_182,user_123,2025-03-02 13:01:40,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_183,user_123,2025-03-02 19:00:23,Dinner,Steamed Rice,"low-fodmap, carb"
meal_184,user_123,2025-03-03 08:24:38,Breakfast,Steamed Rice,"low-fodmap, carb"
meal_185,user_123,2025-03-03 12:31:59,Lunch,Bean Burrito,"high-fiber, gluten"
meal_186,user_123,2025-03-03 19:10:09,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_187,user_123,2025-03-04 08:56:24,Breakfast,Mac & Cheese,"gluten, dairy, processed"
meal_188,user_123,2025-03-04 12:32:10,Lunch,Bean Burrito,"high-fiber, gluten"
meal_189,user_123,2025-03-04 18:52:34,Dinner,Cooked Carrots,"low-fodmap, vegetable"
meal_190,user_123,2025-03-05 07:42:48,Breakfast,Buffalo Wings,"spicy, processed, high-fat"
meal_191,user_123,2025-03-05 12:41:53,Lunch,Lentil Soup,"high-fiber, legume"
meal_192,user_123,2025-03-05 18:55:30,Dinner,Gluten-Free Toast,gluten-free
meal_193,user_123,2025-03-06 07:12:25,Breakfast,Mac & Cheese,"gluten, dairy, processed"
meal_194,user_123,2025-03-06 12:37:08,Lunch,Lentil Soup,"high-fiber, legume"
meal_195,user_123,2025-03-06 18:30:27,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_196,user_123,2025-03-07 08:32:15,Breakfast,Lentil Soup,"high-fiber, legume"
meal_197,user_123,2025-03-07 12:36:33,Lunch,Buffalo Wings,"spicy, processed, high-fat"
meal_198,user_123,2025-03-07 18:35:50,Dinner,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_199,user_123,2025-03-08 08:49:50,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_200,user_123,2025-03-08 12:35:37,Lunch,Steamed Rice,"low-fodmap, carb"
meal_201,user_123,2025-03-08 18:39:53,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_202,user_123,2025-03-09 07:54:58,Breakfast,Steamed Rice,"low-fodmap, carb"
meal_203,user_123,2025-03-09 12:48:22,Lunch,Spicy Curry,"spicy, high-fat, dairy-free"
meal_204,user_123,2025-03-09 18:04:45,Dinner,Lentil Soup,"high-fiber, legume"
meal_205,user_123,2025-03-10 08:48:38,Breakfast,Gluten-Free Toast,gluten-free
meal_206,user_123,2025-03-10 12:46:28,Lunch,Bean Burrito,"high-fiber, gluten"
meal_207,user_123,2025-03-10 18:30:48,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_208,user_123,2025-03-11 07:46:35,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_209,user_123,2025-03-11 12:05:14,Lunch,Lentil Soup,"high-fiber, legume"
meal_210,user_123,2025-03-11 18:24:12,Dinner,Large Apple,"high-fiber, fruit, raw"
meal_211,user_123,2025-03-12 08:20:45,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_212,user_123,2025-03-12 13:50:57,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_213,user_123,2025-03-12 19:41:08,Dinner,Steamed Rice,"low-fodmap, carb"
meal_214,user_123,2025-03-13 07:23:50,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_215,user_123,2025-03-13 13:21:55,Lunch,Mac & Cheese,"gluten, dairy, processed"
meal_216,user_123,2025-03-13 19:39:17,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_217,user_123,2025-03-14 07:28:47,Breakfast,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_218,user_123,2025-03-14 12:34:37,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_219,user_123,2025-03-14 19:22:51,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_220,user_123,2025-03-15 07:38:40,Breakfast,Steamed Rice,"low-fodmap, carb"
meal_221,user_123,2025-03-15 13:41:24,Lunch,Large Apple,"high-fiber, fruit, raw"
meal_222,user_123,2025-03-15 18:35:43,Dinner,Large Apple,"high-fiber, fruit, raw"
meal_223,user_123,2025-03-16 08:43:47,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_224,user_123,2025-03-16 12:17:45,Lunch,Mac & Cheese,"gluten, dairy, processed"
meal_225,user_123,2025-03-16 19:47:48,Dinner,Large Apple,"high-fiber, fruit, raw"
meal_226,user_123,2025-03-17 08:04:31,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_227,user_123,2025-03-17 12:33:51,Lunch,Mac & Cheese,"gluten, dairy, processed"
meal_228,user_123,2025-03-17 19:09:19,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_229,user_123,2025-03-18 08:33:49,Breakfast,Buffalo Wings,"spicy, processed, high-fat"
meal_230,user_123,2025-03-18 13:29:53,Lunch,Steamed Rice,"low-fodmap, carb"
meal_231,user_123,2025-03-18 19:56:08,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_232,user_123,2025-03-19 07:25:00,Breakfast,Scrambled Eggs,"low-fodmap, protein"
meal_233,user_123,2025-03-19 12:39:41,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_234,user_123,2025-03-19 18:27:20,Dinner,Lentil Soup,"high-fiber, legume"
meal_235,user_123,2025-03-20 08:55:24,Breakfast,Steamed Rice,"low-fodmap, carb"
meal_236,user_123,2025-03-20 12:33:05,Lunch,Lentil Soup,"high-fiber, legume"
meal_237,user_123,2025-03-20 18:27:35,Dinner,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_238,user_123,2025-03-21 08:01:06,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_239,user_123,2025-03-21 13:30:07,Lunch,Scrambled Eggs,"low-fodmap, protein"
meal_240,user_123,2025-03-21 18:09:56,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_241,user_123,2025-03-22 08:16:45,Breakfast,Gluten-Free Toast,gluten-free
meal_242,user_123,2025-03-22 12:58:56,Lunch,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_243,user_123,2025-03-22 19:02:25,Dinner,Spicy Curry,"spicy, high-fat, dairy-free"
meal_244,user_123,2025-03-23 07:03:41,Breakfast,Scrambled Eggs,"low-fodmap, protein"
meal_245,user_123,2025-03-23 12:14:16,Lunch,Buffalo Wings,"spicy, processed, high-fat"
meal_246,user_123,2025-03-23 18:28:51,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_247,user_123,2025-03-24 07:42:29,Breakfast,Lentil Soup,"high-fiber, legume"
meal_248,user_123,2025-03-24 12:21:06,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_249,user_123,2025-03-24 18:41:06,Dinner,Gluten-Free Toast,gluten-free
meal_250,user_123,2025-03-25 07:02:54,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_251,user_123,2025-03-25 13:32:53,Lunch,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_252,user_123,2025-03-25 19:16:34,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_253,user_123,2025-03-26 08:46:01,Breakfast,Mac & Cheese,"gluten, dairy, processed"
meal_254,user_123,2025-03-26 13:49:07,Lunch,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_255,user_123,2025-03-26 18:43:17,Dinner,Lentil Soup,"high-fiber, legume"
meal_256,user_123,2025-03-27 08:26:26,Breakfast,Grilled Chicken Breast,"low-fodmap, protein"
meal_257,user_123,2025-03-27 12:55:02,Lunch,Mac & Cheese,"gluten, dairy, processed"
meal_258,user_123,2025-03-27 19:03:13,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_259,user_123,2025-03-28 08:49:04,Breakfast,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_260,user_123,2025-03-28 13:04:41,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_261,user_123,2025-03-28 18:37:39,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_262,user_123,2025-03-29 07:42:25,Breakfast,Mac & Cheese,"gluten, dairy, processed"
meal_263,user_123,2025-03-29 13:45:54,Lunch,Gluten-Free Toast,gluten-free
meal_264,user_123,2025-03-29 19:24:13,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_265,user_123,2025-03-30 07:50:46,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_266,user_123,2025-03-30 12:40:25,Lunch,Bean Burrito,"high-fiber, gluten"
meal_267,user_123,2025-03-30 19:44:20,Dinner,Large Apple,"high-fiber, fruit, raw"
meal_268,user_123,2025-03-31 07:14:36,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_269,user_123,2025-03-31 13:55:43,Lunch,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_270,user_123,2025-03-31 18:27:26,Dinner,Pizza Slice,"gluten, dairy, processed, high-fat"
